Time      encoder Position      Calculated Position
-0.001    -1.50796     41.7949
-0.001    -1.50796     41.7613
-0.001    -1.50796     41.7226
-0.001    -1.50796     41.6788
-0.001    -1.50796     41.6299
-0.001    -1.50796     41.5759
-0.001    -1.50796     41.5168
-0.001    -1.50796     41.4526
-0.001    -1.50796     41.3833
-0.001    -1.50796     41.309
-0.001    -1.50796     41.2297
-0.001    -1.50796     41.1454
-0.001    -1.50796     41.056
-0.001    -1.50796     40.9618
-0.001    -1.50796     40.8626
-0.001    -1.50796     40.7584
-0.001    -1.50796     40.6494
-0.001    -1.50796     40.5355
-0.001    -1.50796     40.4168
-0.001    -1.50796     40.2933
-0.001    -1.50796     40.165
-0.001    -1.50796     40.032
-0.001    -1.50796     39.8942
-0.001    -1.50796     39.7518
-0.001    -1.50796     39.6047
-0.001    -1.50796     39.4531
-0.001    -1.50796     39.2968
-0.001    -1.50796     39.136
-0.001    -1.50796     38.9708
-0.001    -1.50796     38.8011
-0.001    -1.50796     38.627
-0.001    -1.50796     38.4485
-0.001    -1.50796     38.2657
-0.001    -1.50796     38.0787
-0.001    -1.50796     37.8874
-0.001    -1.50796     37.6919
-0.001    -1.50796     37.4923
-0.001    -1.50796     37.2886
-0.001    -1.50796     37.0809
-0.001    -1.50796     36.8692
-0.001    -1.50796     36.6536
-0.001    -1.50796     36.4341
-0.001    -1.50796     36.2108
-0.001    -1.50796     35.9837
-0.001    -1.50796     35.7528
-0.001    -1.50796     35.5184
-0.001    -1.50796     35.2803
-0.001    -1.50796     35.0387
-0.001    -1.50796     34.7937
-0.001    -1.50796     34.5452
-0.001    -1.50796     34.2933
-0.001    -1.50796     34.0382
-0.001    -1.50796     33.7798
-0.001    -1.50796     33.5183
-0.001    -1.50796     33.2537
-0.001    -1.50796     32.986
-0.001    -1.50796     32.7153
-0.001    -1.50796     32.4418
-0.001    -1.50796     32.1654
-0.001    -1.50796     31.8862
-0.001    -1.50796     31.6044
-0.001    -1.50796     31.3199
-0.001    -1.50796     31.0328
-0.001    -1.50796     30.7433
-0.001    -1.50796     30.4514
-0.001    -1.50796     30.157
-0.001    -1.50796     29.8605
-0.001    -1.50796     29.5617
-0.001    -1.50796     29.2608
-0.001    -1.50796     28.9579
-0.001    -1.50796     28.6529
-0.001    -1.50796     28.3461
-0.001    -1.50796     28.0374
-0.001    -1.50796     27.727
-0.001    -1.50796     27.4149
-0.001    -1.50796     27.1013
-0.001    -1.50796     26.7861
-0.001    -1.50796     26.4694
-0.001    -1.50796     26.1514
-0.001    -1.50796     25.8321
-0.001    -1.50796     25.5117
-0.001    -1.50796     25.19
-0.001    -1.50796     24.8674
-0.001    -1.50796     24.5437
-0.001    -1.50796     24.2192
-0.001    -1.50796     23.8939
-0.001    -1.50796     23.5678
-0.001    -1.50796     23.2411
-0.001    -1.50796     22.9138
-0.001    -1.50796     22.586
-0.001    -1.50796     22.2579
-0.001    -1.50796     21.9294
-0.001    -1.50796     21.6007
-0.001    -1.50796     21.2718
-0.001    -1.50796     20.9428
-0.001    -1.50796     20.6138
-0.001    -1.50796     20.2849
-0.001    -1.50796     19.9562
-0.001    -1.50796     19.6277
-0.001    -1.50796     19.2995
-0.001    -1.50796     18.9718
-0.001    -1.50796     18.6445
-0.001    -1.50796     18.3178
-0.001    -1.50796     17.9917
-0.001    -1.50796     17.6664
-0.001    -1.50796     17.3419
-0.001    -1.50796     17.0183
-0.001    -1.50796     16.6956
-0.001    -1.50796     16.374
-0.001    -1.50796     16.0535
-0.001    -1.50796     15.7342
-0.001    -1.50796     15.4162
-0.001    -1.50796     15.0996
-0.001    -1.50796     14.7844
-0.001    -1.50796     14.4707
-0.001    -1.50796     14.1587
-0.001    -1.50796     13.8483
-0.001    -1.50796     13.5396
-0.001    -1.50796     13.2328
-0.001    -1.50796     12.9279
-0.001    -1.50796     12.6249
-0.001    -1.50796     12.324
-0.001    -1.50796     12.0253
-0.001    -1.50796     11.7287
-0.001    -1.50796     11.4344
-0.001    -1.50796     11.1425
-0.001    -1.50796     10.853
-0.001    -1.50796     10.5659
-0.001    -1.50796     10.2814
-0.001    -1.50796     9.99961
-0.001    -1.50796     9.72047
-0.001    -1.50796     9.4441
-0.001    -1.50796     9.17056
-0.001    -1.50796     8.89994
-0.001    -1.50796     8.63228
-0.001    -1.50796     8.36766
-0.001    -1.50796     8.10614
-0.001    -1.50796     7.8478
-0.001    -1.50796     7.59268
-0.001    -1.50796     7.34085
-0.001    -1.50796     7.09238
